2018-11-21 15:31:25,889 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:31:25,892 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:31:25,894 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:31:25,900 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:33:05,928 [Worker-127] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:33:05,931 [Worker-127] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:33:05,932 [Worker-127] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:33:05,934 [Worker-127] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:35:05,116 [Worker-123] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.havmore:havmore:0.0.1-SNAPSHOT @ D:\Teaching material\Java\CDAC\Demos\Examples\havmore\pom.xml.
2018-11-21 15:35:06,245 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:35:06,247 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:35:06,248 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:35:06,250 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:35:06,250 [Worker-123] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of havmore
2018-11-21 15:35:06,250 [Worker-123] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for havmore
2018-11-21 15:35:06,254 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:35:06,674 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:35:06,676 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:35:06,679 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:35:06,680 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:49:09,360 [Worker-128] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:49:09,364 [Worker-128] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 15:49:09,365 [Worker-128] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 15:49:09,366 [Worker-128] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:26:33,877 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:26:33,879 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:26:33,880 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:26:33,883 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:26:55,127 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:26:55,129 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:26:55,133 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:26:55,134 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:27:40,807 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:27:40,808 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:27:40,810 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:27:40,811 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:38:25,660 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:38:25,662 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:38:25,663 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:38:25,665 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:44:51,000 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:44:51,001 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:44:51,002 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:44:51,004 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:49:36,477 [Worker-139] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:49:36,481 [Worker-139] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 16:49:36,482 [Worker-139] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 16:49:36,484 [Worker-139] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:14:53,860 [Worker-142] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:14:53,862 [Worker-142] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:14:53,863 [Worker-142] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:14:53,865 [Worker-142] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:15:56,534 [Worker-143] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:15:56,538 [Worker-143] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:15:56,545 [Worker-143] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:15:56,551 [Worker-143] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:16:12,559 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:16:12,564 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:16:12,569 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:16:12,572 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:17:04,210 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:17:04,212 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:17:04,213 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:17:04,216 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:17:30,848 [Worker-143] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:17:30,849 [Worker-143] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:17:30,850 [Worker-143] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:17:30,852 [Worker-143] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:19:02,588 [Worker-145] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:19:02,592 [Worker-145] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:19:02,595 [Worker-145] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:19:02,599 [Worker-145] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:19:15,779 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:19:15,781 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:19:15,784 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:19:15,786 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:26:20,141 [Worker-150] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:26:20,143 [Worker-150] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:26:20,144 [Worker-150] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:26:20,145 [Worker-150] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:28:15,225 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:28:15,229 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-21 17:28:15,231 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-21 17:28:15,235 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:13:08,274 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:13:08,317 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:13:08,319 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:13:08,320 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:15:16,249 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:15:16,254 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:15:16,256 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:15:16,260 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:15:39,601 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:15:39,605 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:15:39,608 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:15:39,611 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:16:24,546 [Worker-159] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:16:24,548 [Worker-159] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:16:24,549 [Worker-159] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:16:24,550 [Worker-159] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 11:16:34,995 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 11:16:34,998 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
